,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
270,-0.2,0.048,-0.3645,-0.061,-0.316,0.072,-0.047,-0.465,-0.598,0.056,-0.321,0.148,-0.083,-0.021,0.012,0.175,-0.148,0.183,0.212,-0.021,-0.39
269,-0.2415,0.063,-0.278,-0.032,-0.328,0.105,-0.067,-0.58,-0.589,-0.052,-0.453,0.141,-0.273,-0.161,-0.098,0.173,-0.265,0.094,-0.138,-0.378,-0.264
268,-0.248,0.094,-0.3575,-0.116,-0.335,0.053,-0.126,-0.63,-0.557,0,-0.272,0.061,-0.081,-0.022,-0.024,0.203,-0.311,0.069,-0.121,0.068,-0.251
267,-0.295,0.103,-0.3165,-0.019,-0.207,0.195,-0.122,-0.508,-0.613,-0.072,-0.427,-0.254,-0.339,0.074,0.14,-0.216,-0.271,0.164,0.099,-0.133,-0.254
266,-0.27,0.121,-0.312,-0.115,-0.307,0.134,-0.153,-0.533,-0.843,0.023,-0.251,-0.031,-0.171,-0.014,0.233,0.193,-0.176,0.124,-0.073,-0.036,-0.194
265,-0.288,0.043,-0.362,-0.085,-0.392,0.179,-0.152,-0.566,-0.617,0.092,-0.139,-0.053,-0.396,0.099,0.235,0.206,-0.15,0.088,0.192,-0.256,-0.337
264,-0.3225,0.079,-0.3845,0.082,-0.393,0.161,-0.144,-0.636,-0.488,0.205,-0.034,-0.002,-0.18,0.044,0.282,0.055,-0.255,0.017,-0.088,-0.07,-0.17
263,-0.311,0.055,-0.4015,-0.034,-0.409,0.06,-0.263,-0.622,-0.734,0.173,-0.176,0.379,-0.159,0.239,0.105,0.356,-0.428,0.078,-0.146,-0.274,-0.226
262,-0.303,0.064,-0.388,-0.064,-0.409,0.117,-0.44,-0.506,-0.578,0.077,-0.356,0.289,-0.144,-0.026,0.109,0.122,-0.13,0.142,-0.004,-0.275,-0.081
261,-0.364,-0.012,-0.392,-0.052,-0.282,0.059,-0.326,-0.588,-0.64,-0.152,-0.399,0.255,-0.109,0.009,0.126,0.131,-0.31,0.366,-0.015,-0.083,0.017
260,-0.3785,0.085,-0.3615,-0.008,-0.297,0.068,-0.175,-0.708,-0.608,-0.122,-0.267,0.279,-0.073,-0.158,0.346,0.399,-0.084,0.412,0.256,-0.204,0.198
259,-0.334,-0.07,-0.4465,-0.063,-0.39,0.142,-0.216,-0.766,-0.926,-0.263,-0.449,0.145,-0.468,-0.191,0.238,0.391,0.078,0.433,0.179,0.08,-0.129
